genre,name,description,followers
Creative,Antonio Cuna,"Filipino American music producer.

management:
brice@proper-mgmt.com

bookings:
justin@windishagency.com +
jay@windishagency.com

mike@codaagency.com",108019
Creative,Shaun Brockhurst,"For ROW bookings please contact Paul@mbartists.co.uk
For North American Bookings please contact kevin@circletalentagency.com

To make music is one thing – but to change the course of a genre is another! Doctor P is definitely the leader of the new wave of wobbles and whomps in dubstep and goes against the normal ingredients needed.",129835
Creative,thank you for listening,"Inner Circle: https://www.hive.co/l/sanholo-innercircle

▣ Creative Label:
@bitbirdofficial 

▣ Don't Touch The Classics (Remixes):
@dont-touch-the-classics

▣ Management:
budi@heroic.management

▣ Bookings (North America):
steve@circletalentagency.com

▣ Bookings (Australia & New Zealand):
stix@undrctrl.com

▣ Bookings (Rest of World):
aleks@anna-agency.nl",248065
Hip-Hop,@salva,"FOR ALL PRODUCTION & BOOKINGS INQUIRIES: james@peacemaker.world
",137686
Chill/Mainstream,,"Taste Your Paradise

Established in 2013

Send us your music:
publishing@labellemusique.co",139832
Chill/Mainstream,Power House,"Power House!

MGMT: kattalin@arcane.com
Bookings: oskar@maskade.com
Press Contact: rozie@getinpr.com
Promo: electrodancehousemix@hotmail.com

Hailing from Germany, Styline is the sonic innovator that has been sending shockwaves across the electronic music spectrum with his unique brand of house music. Pioneering his own Power House genre, Styline has proven his versatility as a producer and has garnered a solid legion of followers with his innovative and dynamic productions.  

Starting out in 2009, Styline dedicated his free time to crafting high-energy filled electro and progressive house mixes, which he uploaded onto his YouTube channel. Winning listeners over with his skillful selections, he amassed over 200 million views on his channel, making a name for himself as a worldwide Internet phenomenon. Founding Arcane, the largest DJ Network on YouTube, Styline established an entirely new path for DJs and producers and the way that people access the world of electronic dance music. Taking his passion to the next level, Styline decided to take his music overseas, focusing on the burgeoning Asian electronic dance music scene, securing himself a residency at one of the most reputable nightclubs in Asia, M1NT Club Shanghai. 

Attracting music lovers to his SoundCloud with a selection of hard-hitting remixes and originals, all available for free download, Styline has spent the past 6 months developing his distinctive Power House genre. Featuring punchy basslines, groove-inducing melodies and tailored vocals, this genre has surged in popularity and has taken club music to a completely new realm. Releasing his dance floor gem ‘Rose’ in December 2015, Styline caught the attention of Spinnin’ Records, who signed the track to their SPRS imprint and released it with a fitting music video on their YouTube channel. With Styline’s massive remixes making their rounds, such as his edit of Valentino Khan’s ‘Deep Down Low’, his signature sound is infiltrating into the charts and readying the electronic music world for the future of Power House! Aside from a prolific release schedule, Styline has delivered copious amounts of energy-fuelled live shows over the past few years, further raising awareness about the remarkable artist that he is.

Garnering over 500,000 subscribers on his YouTube channel and over 200,000 fans on Facebook, in a short time Styline has made a colossal mark on the music world, and is just getting warmed up. With plenty more releases lined up, and an abundance of ideas ready to get put into action, Styline will not rest until he has spread his coveted sound to every corner of the globe in an emphatic manner. Gearing up to make 2016 his biggest year to date, Styline is set to perform at some of the most important dance music events this year; including Ultra Music Festival Miami, Inception At Sea alongside The Chainsmokers and Winter Music Conference shows. With a burning desire to take his prodigious sound to the next level over the course of the year, stay tuned for the next phase of Styline’s enthralling Power House takeover!",164909
Indie/Alternative,,"Just your everyday Gentleman.

BOOKINGS
Paul (AUS/NZ/ASIA): stix@undrctrl.com
Jonas & Ryan (N/S America): JSchumann@wmeentertainment.com & RKing@wmeentertainment.com

MANAGEMENT
Ethan: Ethan@knctrnl.com
Jesse: jesse@summanagement.com.au

The artworks for all my music is by several amazing artists, links to their Deviant Art profiles are in the descriptions of each track !
_________________
 
Stay classy.",107810
Indie/Alternative,,"Management
Steven Pahel - sp@slvyvll.com
Booking 
Lee Anderson - Lee@amonly.com
Denise Melanson - Denise@amonly.com
",213530
Indie/Alternative,,"Listen on Spotify http://hyperurl.co/crookersspotify

Official CROOKERS page, posting new CROOKERS music,mixes and fresh beats

➜ send promo to  promo@crookers.net 

➜ send requests for bookings to :

❤ crookers@caa.com (North & South America)

❤ martje@decked-out.co.uk (Europe & Australasia)

❤ giammarco@macmacagency.com (Italy)
  
➜ management :

❤ soraya@wearethebakery.com

➜ send demos to ➜ demos@ciaorecs.com

❤ Love the music ❤

CROOKERS™
",129337
Indie/Alternative,,"While it may look that way on stage, nothing is ever simple with Keys N Krates. Not when everyone has an equally valid opinion, along with the willingness (no, the all-consuming need) to sit and scrutinize a hearty 808 hit or laser like synth line for hours on end.

It's been this way since the very beginning, when Keys N Krates went from being a live hip-hop band reliant on rough acapellas and memory-jogging remixes to something much more complex - a tight-knit trio of producers/performers - Turntablist Jr Flo, Keyboard player David Matisse, drummer Adam Tune - who take rocking a party as seriously as a week spent in the studio. ""We always trade roles from song to song,"" explains Jr. Flo.  ""It's not uncommon for Matisse to flip a sample, or for me to write a melody, or for Tune to chime in on the mixing of a track. It's not the fastest way of working, but everyone has a say in everything.""

Which explains why their breakthrough singles (the elastic loops and diamond-edged drums of ""Dum Dee Dum,"" the head rush hooks of ""Treat Me Right,"" a frantic, D'n'B-flavored ""Are We Faded"") are able to pull the strings of packed festival crowds without resorting to tired EDM tropes. Hip-hop, house and UK bass music all play a role in a Keys N Krates record, but so do the dark-tinged dynamics and widescreen ways of indie acts like Caribou and M83. ""Seeing M83 live at the Osheaga festival changed our whole perception of how their music translates live,"" says Jr. Flo. ""The chord progressions are beautiful and catchy but never corny. It's pop music at its best.""

That was essentially the goal with the Toronto group's new Midnite Mass EP: cuts that are calibrated for clubs but that can translate beyond. Punchy and powerful. Emotional and epic. That goes for everything from its title track (an intro that sounds like a suspenseful thesis) to a Katy B collab (""Save Me"") that'll beam old-school ravers straight back to the '90s. And then there's something as deceivingly simple as ""Love Again,"" a soulful rap beat created from scratch and such artful details as the orchestral flourishes of Ouici and the gospel vocals of a friend named JP. Let's just say it's no coincidence that the song sounds like it sampled a dust-caked '70s record from a long-buried discount bin;  That Just Blaze or Kanye might find and flip, Keys N Krates want to leave you wondering just how they do it.     

“We wanted people to wonder where we got a lot of the sounds for this EP, the same way we have when listening to producers like Just Blaze and Timbaland.  Those guys have always used source samples or sounds that leave you scratching your head.  We love that simplicity; it's like true Italian cooking, a few ingredients to make something so impactful…. beats that leave you wondering 'where the fuck did he get that sound from?'  

Management: get@keysnkrates.com

PR: Nick Dierl - Life or Death nick@lifeordeath.co & Duncan Will - Life or Death duncan@lifeordeath.co

US Bookings: jake@madison-house.com & wes@madison-house.com

Canadian Bookings: jake@madison-house.com & perry@madison-house.com 

Europe/Asia/Australia Bookings: craig@primarytalent.com",244780
Indie/Alternative,,"Management: Moe Shalizi
moe@redlightmanagement.com

Bookings: Steve Gordon
steve@circletalentagency.com

www.facebook.com/dotcommusic
www.twitter.com/iamDOTCOM
www.instagram.com/dotcommusic
",142752
Indie/Alternative,Can't Edit Your Soul,"Management : 
steve@guess-agency.com

North America Bookings :
lee@amonly.com
cody@amonly.com

European Booking :
Nick : nick@codaagency.com
Tom: tom@codaagency.com
",380884
Indie/Alternative,,"Music producers from Los Angeles.
Snapchat/Instagram: @slanderofficial

Download our music for FREE 
-> smarturl.it/SLANDERmusic

Upcoming Shows 
3/14 - Las Vegas - XS Nightclub
3/16 - Miami - Gud Vibrations  (The Hangar)
3/18 - Miami - Ultra Music Festival
3/19 - San Bernardino - Beyond Wonderland
3/22 - Lake Havasu - SWAT 

All Tour Dates: smarturl.it/BreatheTour

Management
will@hashtagjukelife.com
steven@hashtagjukelife.com

Bookings
North America: ben@circletalentagency.com  
AUS/NZ: anand@wearebbe.com 
Asia: robb@supermodifiedagency.com",190850
Indie/Alternative,GTA,"All Inquiries:
Stevie Dreher
stevied.son@gmail.com

Bookings:
North America: Harris Lewis
Harris@AMOnly.com

World: Anna Agency
Aleks
Aleks@anna-agency.nl
",233519
Indie/Alternative,,"See Kap Slap Live - tickets: www.kapslap.com/tour

Ultra Records | WME | RMG | 

Booking - http://kapslap.com/booking/

PGongaware@wmeentertainment.com 

MGMT - ABender@RevereMG.com",140251
Indie/Alternative,,"We're Discobelle.net - a Swedish based music blog that cuts the crap and focuses on the important things. We're also a digital record label with over 30 releases under our belt.

If you want get in touch about a dj-booking contact us at: booking@discobelle.net and we’ll get back to you.",1022441
Indie/Alternative,Kitsuné,"For all booking inquiries please contact booking@kitsune.fr 

For all track submissions please contact 
demo@kitsune.fr",112567
Indie/Alternative,,"// N/S America bookings: brad@windishagency.com

// Int'l bookings: SMC@wmeentertainment.com, FIN@wmeentertainment.com

// MGMT: info@nervemanagement.com



",157388
Indie/Alternative,,"WE GOT JAMZ.
⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪

TWRK = @Benzi x @DJ-Esentrik

MAD DECENT / GET RIGHT

⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪

WE ARE TWRK EP ⚪ http://smarturl.it/wearetwrk

⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪

⚪⚪⚪BOOKING/AGENT⚪⚪⚪

North & South America:
Steve@circletalentagency.com
Jon@circletalentagency.com

Europe & Asia:
Andres@exytmusic.com

Inquiries:
info@moodswingmgmt.com

⚪⚪⚪⚪ TOUR DATES ⚪⚪⚪⚪ www.WEARETWRK.com

⚪⚪⚪ MGMT/REMIXES ⚪⚪⚪  johnny@moodswingmgmt.com

⚪⚪⚪ Hollers/DEMOS ⚪⚪⚪ info@WeAreTWRK.com",111659
Indie/Alternative,Joel Fletcher,"- www.luckyent.com - 

Please contact Luke for all Bookings/Enquiries:
luke@luckyent.com

Please contact Lauren for all Media/Press enquiries:
lauren@luckyent.com ",157932
